table,format,size (MB),query,time (seconds),comment
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,4,285,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,1,265,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,2,137,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,3,228,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,4,260,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,1,160,TEZ
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,2,34,TEZ
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,3,111,TEZ
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,4,178,TEZ
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,1,255,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,2,139,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,3,229,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,4,278,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,1,248,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,2,121,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,3,196,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,4,220,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,1,205,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,2,108,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,3,184,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,4,219,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,1,63,TEZ
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,2,11,TEZ
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,3,26,TEZ
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,4,46,TEZ
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,1,202,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,2,106,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,3,182,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,AVRO,515,4,216,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,1,105,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,2,94,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,3,126,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,4,118,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,1,81,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,2,89,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,3,125,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,4,98,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,1,20,TEZ
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,2,4,TEZ
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,3,5,TEZ
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,4,5,TEZ
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,1,89,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,2,92,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,3,122,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,RCFILE,343,4,100,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,1,73,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,2,93,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,3,121,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,4,91,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,1,55,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,2,87,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,3,113,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,4,71,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,1,22,TEZ
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,2,2,TEZ
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,3,5,TEZ
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,4,6,TEZ
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,1,63,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,2,91,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,3,110,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,ORC,84,4,73,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,1,77,MR DEFAULT
